Feria_Nombre,Feria_Lugar,Feria_Fecha_Inicio,Feria_Fecha_Fin,Categoria_Nombre,Caballo_Nombre,Caballo_Criadero,Cuota_Base
Copa Equina Ciudad de Manizales,"Estadio Los Fundadores, Manizales – Caldas",2025-01-11,2025-01-19,Trocha Pura Colombiana (P3),Cacique de Pácora,Criadero Pácora,3.0
Copa Equina Ciudad de Manizales,"Estadio Los Fundadores, Manizales – Caldas",2025-01-11,2025-01-19,Trocha Pura Colombiana (P3),Brioso de Chinchiná,Hacienda Chinchiná,3.45
Copa Equina Ciudad de Manizales,"Estadio Los Fundadores, Manizales – Caldas",2025-01-11,2025-01-19,Trocha Pura Colombiana (P3),Leopardo de Palestina,Criadero Palestina,3.9
Copa Equina Ciudad de Manizales,"Estadio Los Fundadores, Manizales – Caldas",2025-01-11,2025-01-19,Trocha Pura Colombiana (P3),Espartano de Victoria,Hacienda La Victoria,4.4
Copa Equina Ciudad de Manizales,"Estadio Los Fundadores, Manizales – Caldas",2025-01-11,2025-01-19,Trocha y Galope (P2),Regio de La Virginia,Criadero La Virginia,1.6
Copa Equina Ciudad de Manizales,"Estadio Los Fundadores, Manizales – Caldas",2025-01-11,2025-01-19,Trocha y Galope (P2),Fuerte de Belén,Hacienda Belén de Umbría,1.9
Copa Equina Ciudad de Manizales,"Estadio Los Fundadores, Manizales – Caldas",2025-01-11,2025-01-19,Trocha y Galope (P2),Valiente de Balboa,Criadero Balboa,2.25
Copa Equina Ciudad de Manizales,"Estadio Los Fundadores, Manizales – Caldas",2025-01-11,2025-01-19,Trocha y Galope (P2),Orgullo de Apía,Hacienda Apía,2.65
Copa Equina Ciudad de Manizales,"Estadio Los Fundadores, Manizales – Caldas",2025-01-11,2025-01-19,Trocha y Galope (P2),Potro de Mistrato,Criadero Mistrató,3.05
Copa Equina Ciudad de Manizales,"Estadio Los Fundadores, Manizales – Caldas",2025-01-11,2025-01-19,Trocha y Galope (P2),Caudillo de Pueblo Rico,Hacienda Pueblo Rico,3.5
Copa Equina Ciudad de Manizales,"Estadio Los Fundadores, Manizales – Caldas",2025-01-11,2025-01-19,Trocha y Galope (P2),Audaz de Quinchía,Criadero Quinchía,3.95
Copa Equina Ciudad de Manizales,"Estadio Los Fundadores, Manizales – Caldas",2025-01-11,2025-01-19,Trote y Galope (P1),Leyenda de Marulanda,Criadero Marulanda,1.65
Copa Equina Ciudad de Manizales,"Estadio Los Fundadores, Manizales – Caldas",2025-01-11,2025-01-19,Trote y Galope (P1),Brillante de Samaná,Hacienda Samaná,1.95
Copa Equina Ciudad de Manizales,"Estadio Los Fundadores, Manizales – Caldas",2025-01-11,2025-01-19,Trote y Galope (P1),Eclipse de Marquetalia,Criadero Marquetalia,2.3
Copa Equina Ciudad de Manizales,"Estadio Los Fundadores, Manizales – Caldas",2025-01-11,2025-01-19,Trote y Galope (P1),Aguila de Manzanares,Hacienda El Pórtico,2.7
Copa Equina Ciudad de Manizales,"Estadio Los Fundadores, Manizales – Caldas",2025-01-11,2025-01-19,Trote y Galope (P1),Coloso de Pensilvania,Criadero Villa Rosa,3.15
Copa Equina Ciudad de Manizales,"Estadio Los Fundadores, Manizales – Caldas",2025-01-11,2025-01-19,Trote y Galope (P1),Trueno de La Dorada,Hacienda San Diego,3.6
Copa Nacional Equina Fedequinas,"Corferias, Bogotá D.C.",2025-04-12,2025-04-20,Paso Fino Colombiano (P4),Rey de Bogotá,Criadero El Virrey,1.45
Copa Nacional Equina Fedequinas,"Corferias, Bogotá D.C.",2025-04-12,2025-04-20,Paso Fino Colombiano (P4),Absoluto de Fusagasugá,Hacienda Fusagasugá,1.7
Copa Nacional Equina Fedequinas,"Corferias, Bogotá D.C.",2025-04-12,2025-04-20,Paso Fino Colombiano (P4),Magnífico de Zipaquirá,Criadero Zipaquirá,2.05
Copa Nacional Equina Fedequinas,"Corferias, Bogotá D.C.",2025-04-12,2025-04-20,Paso Fino Colombiano (P4),Invicto de Facatativá,Hacienda Los Arrayanes,2.4
Copa Nacional Equina Fedequinas,"Corferias, Bogotá D.C.",2025-04-12,2025-04-20,Paso Fino Colombiano (P4),Triunfador de La Mesa,Criadero La Mesa,2.8
Copa Nacional Equina Fedequinas,"Corferias, Bogotá D.C.",2025-04-12,2025-04-20,Paso Fino Colombiano (P4),Ilustre de Mosquera,Hacienda El Hatillo,3.2
Copa Nacional Equina Fedequinas,"Corferias, Bogotá D.C.",2025-04-12,2025-04-20,Paso Fino Colombiano (P4),Prócer de Chía,Criadero Chía,3.65
Copa Nacional Equina Fedequinas,"Corferias, Bogotá D.C.",2025-04-12,2025-04-20,Paso Fino Colombiano (P4),Soberano de Cajicá,Hacienda Cajicá,4.15
Copa Nacional Equina Fedequinas,"Corferias, Bogotá D.C.",2025-04-12,2025-04-20,Paso Fino Colombiano (P4),Majestuoso de Tabio,Criadero Tabio,4.6
Copa Nacional Equina Fedequinas,"Corferias, Bogotá D.C.",2025-04-12,2025-04-20,Trocha Pura Colombiana (P3),Cóndor de Cundinamarca,Criadero El Cóndor,1.5
Copa Nacional Equina Fedequinas,"Corferias, Bogotá D.C.",2025-04-12,2025-04-20,Trocha Pura Colombiana (P3),Noble de Subachoque,Hacienda Subachoque,1.8
Copa Nacional Equina Fedequinas,"Corferias, Bogotá D.C.",2025-04-12,2025-04-20,Trocha Pura Colombiana (P3),Fiero de Guasca,Criadero Guasca,2.15
Copa Nacional Equina Fedequinas,"Corferias, Bogotá D.C.",2025-04-12,2025-04-20,Trocha Pura Colombiana (P3),Altivo de Ubaté,Hacienda Ubaté,2.5
Copa Nacional Equina Fedequinas,"Corferias, Bogotá D.C.",2025-04-12,2025-04-20,Trocha Pura Colombiana (P3),Bravo de Gachetá,Criadero Gachetá,2.9
Copa Nacional Equina Fedequinas,"Corferias, Bogotá D.C.",2025-04-12,2025-04-20,Trocha Pura Colombiana (P3),León de La Calera,Hacienda La Calera,3.35
Copa Nacional Equina Fedequinas,"Corferias, Bogotá D.C.",2025-04-12,2025-04-20,Trocha Pura Colombiana (P3),Rayo de Cáqueza,Criadero Cáqueza,3.8
Copa Nacional Equina Fedequinas,"Corferias, Bogotá D.C.",2025-04-12,2025-04-20,Trocha Pura Colombiana (P3),Indómito de Fómeque,Hacienda Fómeque,4.25
Copa Nacional Equina Fedequinas,"Corferias, Bogotá D.C.",2025-04-12,2025-04-20,Trocha y Galope (P2),Vigor de Soacha,Criadero Soacha,1.55
Copa Nacional Equina Fedequinas,"Corferias, Bogotá D.C.",2025-04-12,2025-04-20,Trocha y Galope (P2),Fuerza de Sibaté,Hacienda Sibaté,1.85
Copa Nacional Equina Fedequinas,"Corferias, Bogotá D.C.",2025-04-12,2025-04-20,Trocha y Galope (P2),Potencia de Arbeláez,Criadero Arbeláez,2.2
Copa Nacional Equina Fedequinas,"Corferias, Bogotá D.C.",2025-04-12,2025-04-20,Trocha y Galope (P2),Dominio de Pandi,Hacienda Pandi,2.6
Copa Nacional Equina Fedequinas,"Corferias, Bogotá D.C.",2025-04-12,2025-04-20,Trocha y Galope (P2),Imperio de Tibacuy,Criadero Tibacuy,3.0
Copa Nacional Equina Fedequinas,"Corferias, Bogotá D.C.",2025-04-12,2025-04-20,Trocha y Galope (P2),Domador de Ricaurte,Hacienda Ricaurte,3.45
Copa Nacional Equina Fedequinas,"Corferias, Bogotá D.C.",2025-04-12,2025-04-20,Trocha y Galope (P2),Corcel de Anapoima,Criadero Anapoima,3.9
Copa Nacional Equina Fedequinas,"Corferias, Bogotá D.C.",2025-04-12,2025-04-20,Trocha y Galope (P2),Aguila de Apulo,Hacienda Apulo,4.35
Copa Nacional Equina Fedequinas,"Corferias, Bogotá D.C.",2025-04-12,2025-04-20,Trote y Galope (P1),Astro de Villeta,Criadero Villeta,1.6
Copa Nacional Equina Fedequinas,"Corferias, Bogotá D.C.",2025-04-12,2025-04-20,Trote y Galope (P1),Titan de Nocaima,Hacienda Nocaima,1.9
Copa Nacional Equina Fedequinas,"Corferias, Bogotá D.C.",2025-04-12,2025-04-20,Trote y Galope (P1),Cohete de Quebradanegra,Criadero El Palmar,2.25
Copa Nacional Equina Fedequinas,"Corferias, Bogotá D.C.",2025-04-12,2025-04-20,Trote y Galope (P1),Veloz de Útica,Hacienda Útica,2.65
Copa Nacional Equina Fedequinas,"Corferias, Bogotá D.C.",2025-04-12,2025-04-20,Trote y Galope (P1),Rudo de Vergara,Criadero Vergara,3.05
Copa Nacional Equina Fedequinas,"Corferias, Bogotá D.C.",2025-04-12,2025-04-20,Trote y Galope (P1),Toro de Guayabal,Hacienda Guayabal,3.5
Copa Nacional Equina Fedequinas,"Corferias, Bogotá D.C.",2025-04-12,2025-04-20,Trote y Galope (P1),Gigante de La Peña,Criadero La Peña,3.95
Gran Premio Nacional del Paso Fino Colombiano,"Centro de Eventos Pereira, Risaralda",2025-06-20,2025-06-29,Paso Fino Colombiano (P4),Embajador de Pereira,Criadero La Sopa,1.48
Gran Premio Nacional del Paso Fino Colombiano,"Centro de Eventos Pereira, Risaralda",2025-06-20,2025-06-29,Paso Fino Colombiano (P4),Gallardo de Dosquebradas,Hacienda La Popa,1.75
Gran Premio Nacional del Paso Fino Colombiano,"Centro de Eventos Pereira, Risaralda",2025-06-20,2025-06-29,Paso Fino Colombiano (P4),Patriarca de Santa Rosa,Criadero El Madrigal,2.1
Gran Premio Nacional del Paso Fino Colombiano,"Centro de Eventos Pereira, Risaralda",2025-06-20,2025-06-29,Paso Fino Colombiano (P4),Señorío de Marsella,Hacienda Marsella,2.45
Gran Premio Nacional del Paso Fino Colombiano,"Centro de Eventos Pereira, Risaralda",2025-06-20,2025-06-29,Paso Fino Colombiano (P4),Macho de La Celia,Criadero La Celia,2.85
Gran Premio Nacional del Paso Fino Colombiano,"Centro de Eventos Pereira, Risaralda",2025-06-20,2025-06-29,Paso Fino Colombiano (P4),Guerrero de Guática,Hacienda El Guamo,3.25
Gran Premio Nacional del Paso Fino Colombiano,"Centro de Eventos Pereira, Risaralda",2025-06-20,2025-06-29,Paso Fino Colombiano (P4),Soberbio de Belén,Criadero Belén de Umbría,3.7
Gran Premio Nacional del Paso Fino Colombiano,"Centro de Eventos Pereira, Risaralda",2025-06-20,2025-06-29,Paso Fino Colombiano (P4),Temible de Apia,Hacienda Apia,4.2
Gran Premio Nacional del Paso Fino Colombiano,"Centro de Eventos Pereira, Risaralda",2025-06-20,2025-06-29,Paso Fino Colombiano (P4),Regio de Santuario,Criadero Santuario,4.65
Gran Premio Nacional del Paso Fino Colombiano,"Centro de Eventos Pereira, Risaralda",2025-06-20,2025-06-29,Trocha Pura Colombiana (P3),Indomable de Circasia,Criadero Los Pinos,1.55
Gran Premio Nacional del Paso Fino Colombiano,"Centro de Eventos Pereira, Risaralda",2025-06-20,2025-06-29,Trocha Pura Colombiana (P3),Vigoroso de Calarcá,Hacienda El Bosque,1.85
Gran Premio Nacional del Paso Fino Colombiano,"Centro de Eventos Pereira, Risaralda",2025-06-20,2025-06-29,Trocha Pura Colombiana (P3),Brioso de Montenegro,Criadero Montenegro,2.2
Gran Premio Nacional del Paso Fino Colombiano,"Centro de Eventos Pereira, Risaralda",2025-06-20,2025-06-29,Trocha Pura Colombiana (P3),Poderoso de Buenavista,Hacienda Buenavista,2.6
Gran Premio Nacional del Paso Fino Colombiano,"Centro de Eventos Pereira, Risaralda",2025-06-20,2025-06-29,Trocha Pura Colombiana (P3),Veloz de Génova,Criadero Génova,3.0
Gran Premio Nacional del Paso Fino Colombiano,"Centro de Eventos Pereira, Risaralda",2025-06-20,2025-06-29,Trocha Pura Colombiana (P3),Ágil de Pijao,Hacienda El Pijao,3.45
Gran Premio Nacional del Paso Fino Colombiano,"Centro de Eventos Pereira, Risaralda",2025-06-20,2025-06-29,Trocha Pura Colombiana (P3),Feroz de Córdoba,Criadero Córdoba Quindío,3.9
Gran Premio Nacional del Paso Fino Colombiano,"Centro de Eventos Pereira, Risaralda",2025-06-20,2025-06-29,Trocha y Galope (P2),Nobleza de Armenia,Criadero La Patria,1.58
Gran Premio Nacional del Paso Fino Colombiano,"Centro de Eventos Pereira, Risaralda",2025-06-20,2025-06-29,Trocha y Galope (P2),Orgullo de La Tebaida,Hacienda La Tebaida,1.88
Gran Premio Nacional del Paso Fino Colombiano,"Centro de Eventos Pereira, Risaralda",2025-06-20,2025-06-29,Trocha y Galope (P2),Honor de Quimbaya,Criadero Quimbaya,2.22
Gran Premio Nacional del Paso Fino Colombiano,"Centro de Eventos Pereira, Risaralda",2025-06-20,2025-06-29,Trocha y Galope (P2),Lustre de Filandia,Hacienda Filandia,2.62
Gran Premio Nacional del Paso Fino Colombiano,"Centro de Eventos Pereira, Risaralda",2025-06-20,2025-06-29,Trocha y Galope (P2),Lealtad de Salento,Criadero Salento,3.02
Gran Premio Nacional del Paso Fino Colombiano,"Centro de Eventos Pereira, Risaralda",2025-06-20,2025-06-29,Trocha y Galope (P2),Gloria de El Águila,Hacienda El Águila,3.48
Gran Premio Nacional del Paso Fino Colombiano,"Centro de Eventos Pereira, Risaralda",2025-06-20,2025-06-29,Trocha y Galope (P2),Valentía de Ansermanuevo,Criadero Ansermanuevo,3.92
Gran Premio Nacional del Paso Fino Colombiano,"Centro de Eventos Pereira, Risaralda",2025-06-20,2025-06-29,Trocha y Galope (P2),Firmeza de Argelia,Hacienda Argelia Valle,4.4
Gran Premio Nacional del Paso Fino Colombiano,"Centro de Eventos Pereira, Risaralda",2025-06-20,2025-06-29,Trote y Galope (P1),Impulso de Cartago,Criadero Los Naranjos,1.62
Gran Premio Nacional del Paso Fino Colombiano,"Centro de Eventos Pereira, Risaralda",2025-06-20,2025-06-29,Trote y Galope (P1),Empuje de Zarzal,Hacienda Zarzal,1.92
Gran Premio Nacional del Paso Fino Colombiano,"Centro de Eventos Pereira, Risaralda",2025-06-20,2025-06-29,Trote y Galope (P1),Arranque de Roldanillo,Criadero Roldanillo,2.28
Gran Premio Nacional del Paso Fino Colombiano,"Centro de Eventos Pereira, Risaralda",2025-06-20,2025-06-29,Trote y Galope (P1),Chispa de La Victoria,Hacienda La Victoria Valle,2.68
Gran Premio Nacional del Paso Fino Colombiano,"Centro de Eventos Pereira, Risaralda",2025-06-20,2025-06-29,Trote y Galope (P1),Remate de Trujillo,Criadero Trujillo Valle,3.08
Gran Premio Nacional del Paso Fino Colombiano,"Centro de Eventos Pereira, Risaralda",2025-06-20,2025-06-29,Trote y Galope (P1),Punta de Versalles,Hacienda Versalles Valle,3.52
